,pdbid,-logKd/Ki
0,3zzf,0.4
1,3gww,0.45
2,1w8l,0.49
3,3fqa,0.49
4,1zsb,0.6
5,4obv,0.75
6,3k41,0.82
7,4eu3,0.82
8,2w97,0.96
9,1p0y,1.0
10,2b1r,1.0
11,2d2v,1.0
12,2a31,1.01
13,1maw,1.1
14,3fl9,1.11
15,4fci,1.26
16,4fck,1.26
17,4clp,1.27
18,1f9g,1.28
19,1a0t,1.3
20,1b74,1.3
21,2fah,1.3
22,2igw,1.31
23,2vl1,1.35
24,3nm6,1.35
25,1qpb,1.36
26,1o4l,1.4
27,1o4m,1.4
28,1o4n,1.4
29,3eor,1.4
30,3e81,1.43
31,1utp,1.44
32,1tnk,1.49
33,4bh4,1.49
34,4lh3,1.52
35,5ct1,1.52
36,3mwe,1.54
37,4amw,1.55
38,1iig,1.57
39,3rup,1.57
40,2b1q,1.59
41,1w8m,1.6
42,3itc,1.6
43,2it4,1.62
44,1a7t,1.64
45,1hgj,1.66
46,1rdj,1.66
47,2o9r,1.68
48,4qsw,1.68
49,2sfp,1.7
50,3gf2,1.7
51,3oay,1.7
52,4tyb,1.7
53,3g6m,1.71
54,2hdr,1.72
55,3ern,1.72
56,3vzg,1.72
57,3zst,1.72
58,1u2y,1.74
59,4qsx,1.74
60,4bgx,1.77
61,3f39,1.78
62,2zgm,1.79
63,1ga8,1.8
64,3rxh,1.8
65,1af6,1.82
66,1bra,1.82
67,3eqb,1.82
68,4ahv,1.82
69,1fd7,1.85
70,3khv,1.85
71,1tnl,1.88
72,2ay2,1.88
73,1f2p,1.9
74,4mrh,1.9
75,1f2o,1.91
76,1efi,1.92
77,3ehn,1.92
78,4bh3,1.92
79,2rjr,1.94
80,4mrf,1.95
81,1tnj,1.96
82,2gga,1.96
83,1wdq,1.98
84,3i3d,1.99
85,1gbt,2.0
86,1ing,2.0
87,2bmv,2.0
88,2hds,2.0
89,3rv3,2.0
90,4awj,2.0
91,4ctk,2.0
92,4kz5,2.0
93,4u58,2.0
94,2ks9,2.04
95,4e4a,2.05
96,4ty9,2.05
97,4x8t,2.05
98,1qq9,2.06
99,1rdi,2.06
100,2zg3,2.06
101,4b0c,2.07
102,3rxp,2.08
103,1njj,2.1
104,4aml,2.1
105,3uf9,2.11
106,1qx1,2.12
107,1p2g,2.13
108,1uxb,2.15
109,4b0j,2.15
110,2ay9,2.16
111,4amx,2.19
112,4jdf,2.19
113,1w1v,2.2
114,2vvo,2.2
115,4eh8,2.2
116,1icj,2.22
117,4uru,2.22
118,1rdl,2.24
119,2os9,2.24
120,1ukt,2.25
121,4eh9,2.26
122,1hge,2.27
123,4mfe,2.27
124,3fu0,2.28
125,2ay1,2.29
126,4ehv,2.29
127,1hyv,2.3
128,1inh,2.3
129,1jdj,2.3
130,1o4g,2.3
131,1uxa,2.3
132,1w1p,2.3
133,2hdu,2.3
134,2xix,2.3
135,2xlc,2.3
136,4e3d,2.3
137,4led,2.3
138,4wh7,2.3
139,2qve,2.32
140,1qi0,2.35
141,4k3k,2.35
142,1o4j,2.36
143,4jck,2.37
144,4aj2,2.38
145,4nyt,2.39
146,4tya,2.39
147,2wi1,2.4
148,3pcb,2.4
149,3t2t,2.4
150,4u5l,2.4
151,4zsm,2.4
152,1o4r,2.41
153,1o4h,2.44
154,1t4s,2.44
155,2xiy,2.44
156,3ked,2.44
157,4d62,2.44
158,1gbq,2.46
159,2aez,2.46
160,4ah9,2.46
161,4eh6,2.46
162,3rik,2.47
163,1o4q,2.49
164,4ej2,2.49
165,4ctj,2.51
166,1wdr,2.52
167,3ad7,2.52
168,3fq7,2.52
169,4e3f,2.52
170,1iup,2.54
171,1il3,2.55
172,1kf0,2.55
173,2ria,2.57
174,2wq4,2.57
175,2ay5,2.59
176,2jst,2.59
177,4o3a,2.59
178,4wef,2.59
179,1o4p,2.6
180,2c4v,2.6
181,3gwv,2.6
182,3rxf,2.6
183,1cze,2.62
184,1w1y,2.62
185,2kfh,2.62
186,3f38,2.62
187,3rxl,2.62
188,4lnf,2.62
189,1g5f,2.64
190,1o4i,2.64
191,3p1d,2.64
192,1il5,2.66
193,4y2p,2.66
194,1hgi,2.68
195,2q72,2.68
196,3rxk,2.68
197,4usw,2.69
198,1br5,2.7
199,1gym,2.7
200,1tc1,2.7
201,1ylv,2.7
202,2ha4,2.7
203,2ohk,2.7
204,2ow6,2.7
205,3ftz,2.7
206,3fud,2.7
207,3fuf,2.7
208,3fuh,2.7
209,3gsg,2.7
210,3hvg,2.7
211,3rqw,2.7
212,3sl0,2.7
213,3zsw,2.7
214,3zsz,2.7
215,3zt1,2.7
216,4h4b,2.7
217,4okp,2.7
218,4old,2.7
219,4wks,2.7
220,4ypf,2.7
221,4yrc,2.7
222,4yrg,2.7
223,4yrr,2.7
224,5aok,2.7
225,4kpz,2.71
226,3p4r,2.72
227,1ny2,2.76
228,2p3o,2.77
229,4a4h,2.77
230,4g5y,2.77
231,4urv,2.77
232,2yiv,2.78
233,3ftw,2.78
234,4yrt,2.78
235,2bge,2.8
236,3zt4,2.8
237,4kz8,2.8
238,4urw,2.8
239,4yw2,2.8
240,4eh4,2.81
241,4oyt,2.81
242,1p17,2.82
243,2rib,2.82
244,2w6z,2.82
245,2xj0,2.82
246,2yc0,2.82
247,3fue,2.82
248,4pb1,2.82
249,4z46,2.82
250,4yz5,2.83
251,3fu3,2.84
252,4cgj,2.84
253,1il4,2.85
254,2a29,2.85
255,2ork,2.85
256,3atk,2.85
257,3k3g,2.85
258,3rxa,2.85
259,4luv,2.85
260,4mlt,2.85
261,4x47,2.85
262,4pd5,2.86
263,4fgz,2.87
264,1e34,2.88
265,2woq,2.88
266,4ucv,2.88
267,2k2r,2.89
268,2wpb,2.89
269,2wtx,2.89
270,3f36,2.89
271,4cd8,2.89
272,4urx,2.89
273,5aes,2.89
274,5aom,2.9
275,1ms0,2.91
276,2ay4,2.91
277,2pri,2.91
278,4kc1,2.91
279,1o4k,2.92
280,1p6e,2.92
281,1zp5,2.92
282,2aa9,2.92
283,2aay,2.92
284,2fkf,2.92
285,2fwp,2.92
286,2kfg,2.92
287,3iaf,2.92
288,4x14,2.92
289,5c0k,2.92
290,3ftv,2.93
291,1p6d,2.94
292,4y62,2.95
293,1ykp,2.96
294,2br6,2.96
295,2kdh,2.96
296,3img,2.96
297,4bgy,2.96
298,4k3l,2.96
299,2rnw,2.98
300,3ump,2.99
301,1hqg,3.0
302,1mcz,3.0
303,1ux7,3.0
304,1w7h,3.0
305,1wbg,3.0
306,1wbo,3.0
307,1yc5,3.0
308,1z9h,3.0
309,1zm7,3.0
310,2f1b,3.0
311,2r0y,3.0
312,2vin,3.0
313,2vtm,3.0
314,2wa3,3.0
315,2xgm,3.0
316,2xgo,3.0
317,2xp3,3.0
318,2ych,3.0
319,3ap7,3.0
320,3d9o,3.0
321,3eka,3.0
322,3grj,3.0
323,3nf8,3.0
324,3nk8,3.0
325,3ob0,3.0
326,4fe9,3.0
327,4k5z,3.0
328,4k64,3.0
329,4k72,3.0
330,4l5j,3.0
331,4lkh,3.0
332,4m5r,3.0
333,4oyp,3.0
334,4oz2,3.0
335,4txs,3.0
336,4wh9,3.0
337,5a5o,3.0
338,5c7b,3.0
339,1g42,3.01
340,3dc2,3.02
341,3fuk,3.02
342,4xm8,3.02
343,1ws5,3.03
344,2ggu,3.03
345,3esj,3.03
346,3ay0,3.04
347,3zvv,3.04
348,1gzg,3.05
349,1o41,3.05
350,1pum,3.05
351,2ohl,3.05
352,2vcw,3.05
353,4guj,3.05
354,4u5v,3.05
355,5abe,3.05
356,3atm,3.06
357,3hw1,3.06
358,3rxi,3.06
359,3rxj,3.06
360,4csy,3.06
361,4nyi,3.06
362,1s26,3.07
363,4yrs,3.07
364,1hiy,3.08
365,1mdl,3.09
366,1ugw,3.09
367,4eh5,3.09
368,1a5v,3.1
369,1af2,3.1
370,1pu7,3.1
371,1pu8,3.1
372,1swi,3.1
373,3mo8,3.1
374,4j79,3.1
375,4pxf,3.1
376,4y2j,3.1
377,1k2i,3.11
378,1uod,3.11
379,2ay6,3.11
380,2lto,3.11
381,2lwi,3.11
382,3msj,3.11
383,4aj1,3.11
384,4ajk,3.11
385,4gbz,3.11
386,4wf4,3.11
387,1h9l,3.12
388,2ksb,3.12
389,4uct,3.12
390,2f1a,3.14
391,3odk,3.14
392,1eei,3.15
393,1k9q,3.15
394,1noi,3.15
395,1noj,3.15
396,1nok,3.15
397,1rin,3.15
398,2fr8,3.15
399,2p8n,3.15
400,3cgy,3.15
401,4x0z,3.15
402,3ad8,3.16
403,3ecn,3.16
404,3f35,3.16
405,3lk0,3.16
406,4hnc,3.17
407,4uce,3.17
408,4x3i,3.17
409,1b9s,3.18
410,2wik,3.18
411,3kid,3.18
412,2zdx,3.19
413,4mlx,3.19
414,1axz,3.2
415,2w0x,3.2
416,2wij,3.2
417,3kab,3.2
418,4elc,3.2
419,5d9p,3.2
420,3fty,3.21
421,6tim,3.21
422,1evh,3.22
423,1q5l,3.22
424,1qwu,3.22
425,1x6u,3.22
426,2bv4,3.22
427,3i8t,3.22
428,4tyl,3.22
429,2gmk,3.23
430,4kc4,3.23
431,1gx4,3.24
432,2r8q,3.24
433,4k60,3.24
434,4luo,3.24
435,4y2u,3.24
436,1l5s,3.26
437,4egh,3.26
438,4k66,3.26
439,4wkt,3.26
440,1axr,3.27
441,4jbl,3.27
442,1g9t,3.28
443,1x07,3.28
444,2xgs,3.28
445,3ms4,3.28
446,4eh7,3.28
447,4yv0,3.28
448,4f20,3.29
449,1k9r,3.3
450,1lt6,3.3
451,1o4e,3.3
452,1zd2,3.3
453,2aq7,3.3
454,2aqb,3.3
455,2hd1,3.3
456,2uxx,3.3
457,2w0s,3.3
458,2xml,3.3
459,3avh,3.3
460,3avi,3.3
461,3avk,3.3
462,3avm,3.3
463,3avn,3.3
464,3ch9,3.3
465,3gv6,3.3
466,3h2c,3.3
467,3i90,3.3
468,3i91,3.3
469,3l7g,3.3
470,3n1v,3.3
471,3n1w,3.3
472,3n3l,3.3
473,3n45,3.3
474,4b6f,3.3
475,4gj8,3.3
476,4gj9,3.3
477,4ojq,3.3
478,4oue,3.3
479,4tz8,3.3
480,4u6e,3.3
481,4ucr,3.3
482,4x13,3.3
483,3msc,3.31
484,4kc2,3.31
485,5c7a,3.31
486,4a4e,3.32
487,2a3b,3.33
488,4k2y,3.33
489,4pd9,3.33
490,2xoi,3.34
491,4gwk,3.34
492,4yuy,3.34
493,2qcm,3.35
494,4gnf,3.35
495,4joh,3.35
496,4ucu,3.35
497,4wet,3.35
498,1ahy,3.36
499,2pvv,3.36
500,3zzh,3.36
501,2c6g,3.37
502,4mrd,3.37
503,1z34,3.38
504,2j9h,3.39
505,3mrx,3.39
506,1il9,3.4
507,1jt1,3.4
508,220l,3.4
509,2jbu,3.4
510,2jqk,3.4
511,2q8i,3.4
512,2qcd,3.4
513,2rnx,3.4
514,3k26,3.4
515,5afl,3.4
516,3nba,3.41
517,4yas,3.41
518,1hyz,3.42
519,3kqp,3.42
520,3muk,3.42
521,3px9,3.42
522,4c71,3.42
523,4mi9,3.42
524,1kti,3.43
525,1ywi,3.43
526,2c57,3.43
527,2wig,3.43
528,3ms7,3.43
529,4k67,3.43
530,4kw6,3.43
531,2xp5,3.44
532,3as2,3.44
533,4b4n,3.44
534,4c6z,3.45
535,1t48,3.46
536,1wcc,3.46
537,2wi2,3.46
538,2wi3,3.46
539,2zfi,3.46
540,3blu,3.46
541,3dla,3.46
542,3nil,3.46
543,3nuy,3.46
544,4bhf,3.46
545,4gby,3.46
546,4nrq,3.46
547,4qp6,3.46
548,3mtd,3.47
549,3nf7,3.47
550,4d2d,3.47
551,5ai4,3.47
552,1osv,3.48
553,1tsi,3.48
554,2c90,3.48
555,2f10,3.48
556,3d9m,3.48
557,1gzc,3.49
558,1pzj,3.49
559,2ggx,3.49
560,2qcf,3.49
561,3d1v,3.49
562,4nyj,3.49
563,5ak6,3.49
564,3fcl,3.5
565,4n3w,3.5
566,4wey,3.5
567,2ohm,3.51
568,3nus,3.51
569,4lpf,3.51
570,1imx,3.52
571,1o4d,3.52
572,1o4f,3.52
573,1ysg,3.52
574,3c14,3.52
575,3qw6,3.52
576,3zlv,3.52
577,3zly,3.52
578,4g93,3.52
579,4hv7,3.52
580,2b4m,3.53
581,2y67,3.53
582,3avf,3.53
583,3h06,3.53
584,3nf6,3.53
585,4eh3,3.53
586,4nmr,3.53
587,4orx,3.53
